[00:01:59.764] (7aca14a777c0) DEBUG  | | 0.5242s to build Merkle tree
[00:01:59.764] (7aca14a777c0) DEBUG  | 0.0273s to construct the opening set, including lookups
[00:01:59.764] (7aca14a777c0) DEBUG  | 0.2409s to compute opening proofs
[00:01:59.764] (7aca14a777c0) DEBUG  | | 0.0677s to reduce batch of 256 polynomials
[00:01:59.764] (7aca14a777c0) DEBUG  | | 0.0005s to reduce batch of 2 polynomials
[00:01:59.764] (7aca14a777c0) DEBUG  | | 0.0438s to perform final FFT 524288
[00:01:59.764] (7aca14a777c0) DEBUG  | | 0.0664s to fold codewords in the commitment phase
[00:01:59.764] (7aca14a777c0) DEBUG  | | 0.0594s to find proof-of-work witness
loop 10
[00:02:07.042] (7aca14a777c0) INFO   7.2772s to prove step 10
[00:02:07.042] (7aca14a777c0) DEBUG  | 0.4338s to run 608516 generators
